"Agency","School","SCHOOLCODE","Address","maxOccupancy","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","Status","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Oyster-Adams Bilingual School",201,"2801 Calvert St NW",350,2001,"ES",47984,"FULL REPLACEMENT",0,0,NA,"Open",-77.044377251,38.917309201,3,NA,"Wilson HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","Bunker Hill ES",219,"1401 Michigan Ave  NE",480,2012,"ES",69392,"PARTIAL MOD",6533765,0,6544178,"Open",-76.984995636,38.942012134,5,"Brookland MS","Dunbar HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1573236107909
"DCPS","Dunbar HS",467,"101 N St. NW",1100,2013,"HS",260000,"FULL REPLACEMENT",122897293,-250000,125144890,"Open",-77.014693861,38.908523215,5,"","",653,6,483,198,0.739663093415008,0.303215926493109,0.00918836140888208,398.162327718224,188204.124042879,472.681896153846
"DCPS","Malcolm X ES",244,"1500 Mississippi Ave. SE Washington",248,NA,"ES",77700,"STABILIZED",0,0,52963,"Open",-76.983398577,38.841645061,8,"Johnson MS","Ballou HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","Capitol Hill Montessori",269,"215 G Street NE",360,NA,"ES/MS",47200,"STABILIZED",975866,11987136,14637256,"Open",-77.002562701,38.898529974,6,NA,"Eastern HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6751271186441
"DCPS","Luke Moore HS",884,"1001 Monroe St NE",350,2006,"ALT",65528,"FULL MOD + ADD",0,0,NA,"Open",-76.992316326,38.932276047,5,"","",350,2,0,41,0,0.117142857142857,0.00571428571428571,187.222857142857,0,0
"DCPS","School-Within-School",242,"920 F STREET NE",450,2005,"ES",59200,"PARTIAL MOD",1365487,12028931,16383000,"Open",-76.993183024,38.897564662,6,NA,"",126,1,70,37,0.555555555555556,0.293650793650794,0.00793650793650794,469.84126984127,10837.1984126984,23.0656587837838
"DCPS","Brookland MS",219,NA,NA,2014,"MS",110000,"FULL REPLACEMENT",58053351,-1202174,62711400,"Open",-76.99182,38.93741,5,NA,"Dunbar HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,527.757736363636
"DCPS","Oyster-Adams Bilingual School",201,"2020 19th St. NW",324,NA,"MS",59400,"STABILIZED",3803375,12236000,16039375,"Open",-77.044377251,38.917309201,3,NA,"Wilson HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0298821548822
"DCPS","Woodson, H.D. HS",464,"540 55th St. NE",1000,2011,"HS",253406,"FULL REPLACEMENT",107742134,0,107779131,"Open",-76.922322143,38.896782823,7,"","",639,6,501,193,0.784037558685446,0.302034428794992,0.00938967136150235,396.566510172144,168610.538341158,425.175939006969
"DCPS","bowen",NA,NA,NA,NA,NA,71900,"STABILIZED",0,0,0,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","brucemonroe-demolished",NA,NA,NA,NA,NA,110700,"DEMOLISHED",1499358,0,1499358,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5443360433604
"DCPS","DCPS MultiSchool",NA,NA,NA,NA,NA,1.2e+07,NA,1392424292,242169537,1669108197,"Open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.035357666667
"DCPS","ferebeehope",NA,NA,NA,NA,NA,193800,"PARTIAL MOD",4532419,0,4532419,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3870949432405
"DCPS","garnettpatterson",NA,NA,NA,NA,NA,82700,"STABILIZED",5560714,0,5560714,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2395888754534
"DCPS","mmwashingtion",NA,NA,NA,NA,NA,89700,NA,18696,0,18696,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208428093645485
"DCPS","macfarland",NA,NA,NA,NA,NA,11000,"STABILIZED",874564,50026000,53650564,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5058181818182
"DCPS","malcolmx",NA,NA,NA,NA,NA,110800,"STABILIZED",0,0,0,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","mamiedleespedcntr",NA,NA,NA,NA,NA,45800,"STABILIZED",150000,0,150000,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27510917030568
"DCPS","marshall",NA,NA,NA,NA,NA,103800,"STABILIZED",0,0,0,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","mcterrell",NA,NA,NA,NA,NA,112000,"STABILIZED",1706121,0,1706121,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2332232142857
"DCPS","montgomery/kipp",NA,NA,NA,NA,NA,73700,"STABILIZED",6934511,0,6934511,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.0910583446404
"DCPS","prharris",NA,NA,NA,NA,NA,348700,"STABILIZED",700,0,700,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00200745626613135
"DCPS","rhterrell",NA,NA,NA,NA,NA,143700,"DEMOLISHED",1446215,0,1446215,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0641266527488
"DCPS","River Terrace Special Education Center",304,NA,NA,NA,"SPED",77707,"FULL MOD + ADD",32133707,-2200000,35717175,"Open",-76.95752,38.89495,7,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,413.52396823967
"DCPS","ronbrown",NA,NA,NA,NA,NA,156000,"STABILIZED",0,44597000,47347000,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","rudolph",NA,NA,NA,NA,NA,84400,"STABILIZED",1e+05,0,1e+05,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18483412322275
"DCPS","shaw",NA,NA,NA,NA,NA,230400,"STABILIZED",10000,0,10000,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434027777777778
"DCPS","wilkinson",NA,NA,NA,NA,NA,144900,"STABILIZED",5e+05,0,5e+05,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45065562456867
"DCPS","Roosevelt HS",459,"4301 13th St NW",1030,2015,"HS",331840,"FULL MOD + ADD",117015598,1887406,143557836,"Open",-77.027776341,38.943608176,4,"","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,245831.088235294,352.62656099325
"DCPS","Ballou HS",452,"3401 4th St  SE",1520,2015,"HS",356000,"FULL REPLACEMENT",141737725,4007,162976011,"Open",-77.000975263,38.839382331,8,"","",755,0,644,276,0.852980132450331,0.365562913907285,0,471.523178807947,187732.086092715,398.139676966292
"DCPS","sharpehealth&mamiedlee",312,"420 34th St NW",120,NA,"ALT",80500,"STABILIZED",2089951,0,2089951,"Open",NA,NA,NA,NA,"",60,7,31,3,0.516666666666667,0.05,0.116666666666667,1341.66666666667,34832.5166666667,25.9621242236025
"DCPS","McKinley MS",435,"151 T St NE",1160,2014,"",62000,"FULL MOD",NA,NA,NA,"Open",-77.004122439,38.915219785,5,"","Dunbar HS",202,5,119,31,0.589108910891089,0.153465346534653,0.0247524752475248,306.930693069307,NA,NA
"DCPS","McKinley Technology HS",458,"151 T St NE",1160,2004,"HS",282200,"FULL MOD",77382544,0,77443210,"Open",-77.00488219,38.915210095,5,"","",645,6,239,12,0.370542635658915,0.0186046511627907,0.00930232558139535,437.519379844961,119972.936434109,274.211708008505
"DCPS","Roosevelt STAY",459,"4301 13th St NW",1030,2015,"HS",331840,"FULL MOD + ADD",117015598,1887406,143557836,"Open",-77.027776341,38.943608176,4,"","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,245831.088235294,352.62656099325
"DCPS","Ballou STAY",462,"3401 4th St  SE",1520,2015,"HS",356000,"FULL REPLACEMENT",141737725,4007,162976011,"Open",-77.000975263,38.839382331,8,NA,NA,591,0,0,52,0,0.0879864636209814,0,602.368866328257,239826.945854484,398.139676966292
"DCPS","sharpehealth&mamiedlee",265,"420 34th St NW",120,NA,"ALT",80500,"STABILIZED",2089951,0,2089951,"Open",NA,NA,NA,NA,NA,56,4,29,0,0.517857142857143,0,0.0714285714285714,1437.5,37320.5535714286,25.9621242236025
"DCPS","CHOICE Academy",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.006775952,38.913502755,5,NA,NA,5,0,0,0,0,0,0,NA,NA,NA
"DCPS","Incarcerated Youth Program",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.976378916,38.883430572,7,NA,NA,28,1,0,18,0,0.642857142857143,0.0357142857142857,NA,NA,NA
"DCPS","Youth Services Center",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.988585838,38.91213926,5,NA,NA,76,1,0,32,0,0.421052631578947,0.0131578947368421,NA,NA,NA
"DCPS","Dorothy Height ES",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03087,38.94452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
