"LEA ID
(SY14-15)","School ID(s)
(SY14-15)","School Name(s)
(SY14-15)","School Address(es)
(SY14-15)","Former DCPS Facility Name 
(If applicable, SY14-15)","Maximum Occupancy
(SY14-15, Reported By PCSB)","Total Square Footage 
(SY14-15, Reported By PCSB)","Number of Students Enrolled, 
(SY14-15 Audited Enrollment from OSSE, reported by PCSB)"," Square Footage per Student
(Total Square Footage / Total Enrollment)","LEA Enrollment Ceiling
(As of Nov. 2014, Reported By PCSB)","Percentage of LEA Enrollment Ceiling Filled 
(LEA Enrollment / LEA Enrollment Ceiling)",FACILITY NOTES
114,199,DC  Bilingual PCS,"1420 Columbia Road, NW",N/A, 	549 ," 	50,000 ", 	364 , 	206 , 	375 ,97%,
,,,"3029 14th Street, NW",N/A, 	260 ," 	25,000 ",,,,,
115,1110 & 218,DC  Prep PCS - Benning (Elementary and Middle Schools),"100 41st Street, NE",Benning, 	849 ," 	107,130 ", 	594 , 	180 ," 	1,350 ",83%,Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.
115,130,DC Prep PCS - Edgewood (Elementary School),"707 Edgewood Street, NE",N/A, 	499 ," 	50,050 ", 	432 , 	116 ," 	1,350 ",83%,Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.
115,196,DC Prep PCS - Edgewood (Middle School)," 701 Edgewood Street, NE",N/A, 	340 ," 	39,746 ", 	294 , 	135 ," 	1,350 ",83%,Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.
170,3070,DC Scholars PCS,"5601 East Capitol Street, SE",Shadd, 	443 ," 	31,000 ", 	389 , 	80 , 	394 ,99%,
179,234,Democracy Prep Congress Heights PCS,"3100 Martin Luther King Jr. Avenue, SE",Old Congress Heights, 	890 ," 	42,528 ", 	620 , 	69 , 	675 ,92%,
181,248,District of Columbia International School PCS,"3220 16th Street, NW",N/A, 	308 ," 	20,217 ", 	210 , 	96 , 	215 ,98%,
116,146,E.L. Haynes PCS - Georgia Avenue,"3600 Georgia Avenue, NW",N/A, 	516 ," 	45,484 ", 	377 , 	121 ," 	1,200 ",130%,
116,1206 & 1138,E.L. Haynes PCS - Kansas Avenue (Elementary and High Schools),"4501 Kansas Avenue, NW",Clark, 	861 ," 	71,447 ", 	780 , 	92 ," 	1,200 ",130%,
117,195,Eagle Academy PCS - The Eagle Center at McGogney,"3400 Wheeler Road, SE",MC Terrell-McGogney (McGogney building)," 	1,241 "," 	60,000 ", 	774 , 	78 , 	920 ,44%,
117,1125,Eagle Academy PCS - New Jersey Avenue,"1017 New Jersey Avenue, SE",N/A, 	190 ," 	8,500 ", 	146 , 	58 , 	920 ,44%,
118,138,Early Childhood Academy PCS,"4301 9th Street, SE ",N/A, 	122 ," 	4,012 ", 	259 , 	76 , 	300 ,86%,
,,,"4025 9th Street, SE",N/A, 	178 ," 	15,602 ",,,,,
144,159,Elsie Whitlow Stokes Community Freedom PCS,"3700 Oakview Terrace, NE",N/A, 	450 ," 	32,341 ", 	350 , 	92 , 	350 ,100%,
158,1211 & 1113,Excel Academy PCS (LEAD and DREAM),"2501 Martin Luther King Jr. Avenue, SE",Birney," 	1,292 "," 	86,800 ", 	724 , 	120 , 	750 ,97%,
120,362 & 361,Friendship PCS - Blow-Pierce (Elementary and Middle Schools),"725 19th Street, NE",Blow-Pierce, 	925 ," 	52,944 ", 	592 , 	89 ," 	5,340 ",60%,
120,363 & 364,Friendship PCS - Chamberlain (Elementary and Middle Schools),"1345 Potomac Avenue, SE",Chamberlain CSHS," 	1,046 "," 	80,860 ", 	718 , 	113 ," 	5,340 ",60%,
120,113,Friendship PCS - Southeast Elementary Academy,"645 Milwaukee Place, SE",N/A, 	950 ," 	58,539 ", 	576 , 	102 ," 	5,340 ",60%,
120,1124,Friendship PCS - Technology Preparatory Academy,"620 Milwaukee Place, SE",N/A, 	200 ," 	7,224 ", 	499 , 	133 ," 	5,340 ",70%,
,,,"2705 Martin Luther King Jr. Avenue, SE",N/A, 	848 ," 	59,125 ",,,,,
120,365 & 366,Friendship PCS - Woodridge (Elementary and Middle Schools),"2959 Carlton Avenue, NE",Woodridge, 	600 ," 	37,000 ", 	452 , 	82 ," 	5,340 ",60%,
120,186,Friendship PCS - Collegiate Academy,"4095 Minnesota Avenue, NE",CG Woodson," 	1,500 "," 	152,000 ", 	883 , 	172 ," 	5,340 ",60%,
180,245,Harmony DC PCS,"62 T Street, NE",N/A, 	220 ," 	20,000 ", 	66 , 	303 , 	216 ,31%,
121,131,Hope Community PCS - Lamond,"6200 Kansas Avenue, NE",N/A, 	500 ," 	41,000 ", 	358 , 	115 ," 	1,080 ",75%,
121,114,Hope Community PCS - Tolson,"2917 8th Street, NE",N/A, 	540 ," 	33,571 ", 	517 , 	65 ," 	1,080 ",75%,
124,115,Howard University Middle School of Math and Science PCS,"405 Howard Place, NW",N/A, 	435 ," 	20,968 ", 	294 , 	71 , 	500 ,59%,
126,163,IDEA (Integrated Design & Electronic Academy) PCS,"1027 45th Street, NE",Carver, 	490 ," 	70,000 ", 	217 , 	323 , 	600 ,36%,
127,134,Ideal Academy PCS,"6130 N Capitol Street, NW",Unknown former DCPS building, 	500 ," 	35,090 ", 	297 , 	118 , 	396 ,75%,
173,200,Ingenuity Prep PCS,"4600 Livingston Road, SE",P.R. Harris, 	200 ," 	31,075 ", 	201 , 	155 , 	216 ,93%,Proposed enrollment ceiling increase to 319. Board will vote on increase to enrollment ceiling at December 15 meeting.
165,3064,Inspired Teaching Demonstration PCS,"200 Douglas Street, NE",N/A, 	620 ," 	40,800 ", 	317 , 	129 , 	325 ,98%,
129,236 & 237,KIPP DC - Arts & Technology Academy PCS and Quest Academy PCS,"5300 Blaine Street, NE",Richardson, 	764 ," 	67,378 ", 	494 , 	136 ," 	4,897 ",90%,
129,"209, 242 & 214","KIPP DC - Connect Academy PCS, Spring Academy PCS, and  Northeast Academy PCS","1375 Mt Olivet Road, NE",Webb ," 	1,206 "," 	67,000 ", 	529 , 	127 ," 	4,897 ",90%,
129,"1129, 190 & 121","KIPP DC - Grow Academy PCS, LEAD Academy PCS, and WILL Academy PCS","421 P Street, NW",Montgomery," 	1,195 "," 	100,671 ", 	958 , 	105 ," 	4,897 ",90%,
129,"189, 132 & 1121","KIPP DC - KEY Academy PCS, LEAP Academy PCS, and Promise Academy PCS","4801 Benning Road, SE",N/A," 	1,608 "," 	84,681 "," 	1,038 ", 	82 ," 	4,897 ",90%,
129,1123,KIPP DC - College Preparatory PCS ,"1401 Brentwood Parkway, NE",Hamilton, 	500 ," 	187,423 ", 	454 , 	413 ," 	4,897 ",90%,
129,"116, 1122 &3071","KIPP DC - AIM Academy PCS, Discover Academy PCS, and Heights Academy PCS","2600 Douglass Place, SE",Douglass," 	1,900 "," 	144,000 "," 	1,066 ", 	135 ," 	4,897 ",90%,
130,193,Latin American Montessori Bilingual PCS,"1375 Missouri Avenue, NW",Miltary Road School, 	346 ," 	16,468 ", 	342 , 	107 , 	346 ,99%,
,,,"1800 Perry Street, NE",Taft, 	220 ," 	20,200 ",,,,,
177,228,Lee Montessori PCS,"301 Douglas Street, NE",Shaed, 	162 ," 	13,200 ", 	74 , 	178 , 	79 ,94%,
132,135,Mary McLeod Bethune Day Academy PCS,"1404 Jackson Street, NE",Slowe, 	450 ," 	56,927 ", 	381 , 	149 , 	500 ,76%,
135,165,Meridian PCS,"2120 13th Street, NW",Harrison, 	718 ," 	61,900 ", 	639 , 	97 , 	855 ,75%,
171,3065,Mundo Verde Bilingual PCS,"30 P Street, NW",J.F. Cook ES, 	897 ," 	36,148 ", 	404 , 	89 , 	475 ,85%,
163,1120,National Collegiate Preparatory PCHS,"4600 Livingston Road, SE",P.R. Harris, 	400 ," 	50,000 ", 	306 , 	163 , 	500 ,61%,
137,169,Options PCS,"1375 E Street, NE",Kingsman," 	1,127 "," 	66,622 ", 	268 , 	249 , 	400 ,67%,
138,222 & 170,Paul PCS - International Middle and High Schools,"5800 8th Street, NW",Paul, 	780 ," 	128,000 ", 	701 , 	183 , 	785 ,89%,
125,161,Perry Street Preparatory PCS,"1800 Perry Street, NE",Taft," 	1,250 "," 	171,000 ", 	619 , 	276 ," 	1,050 ",59%,
139,117,Potomac Preparatory PCS,"4401 8th Street, NE",N/A, 	650 ," 	42,016 ", 	425 , 	99 , 	384 ,111%,
167,3067,Richard Wright PCS for Journalism and Media Arts,"770 M Street, SE",N/A, 	398 ," 	28,000 ", 	305 , 	92 , 	475 ,64%,
140,173,Roots PCS,"15 Kennedy Street, NW",N/A, 	70 ," 	9,000 ", 	95 , 	109 , 	120 ,79%,
,,,"6222 North Capitol Street, NW",N/A, 	160 ," 	1,374 ",,,,,
142,174,"SEED Public Charter School of Washington, DC","4300 C Street, SE",N/A, 	488 ," 	48,128 ", 	336 , 	143 , 	500 ,67%,
174,197,Sela PCS,"6015 Chillum Place, NE",N/A,N/A,N/A, 	86 ,N/A, 	164 ,52%,Co-location with Shining Stars Montessori Academy PCS
166,3066,Shining Stars Montessori Academy PCS,"6017 Chillum Place, NE",N/A,N/A,N/A, 	118 ,N/A, 	124 ,95%,Co-location with Sela PCS
175,187,Somerset Preparatory Academy PCS,"3301 Wheeler Road, SE",M.C. Terrell/McGogney Elementary School," 	1,149 "," 	112,000 ", 	240 , 	467 , 	420 ,57%,
143,1047,St. Coletta Special Education PCS,"1901 Independence Avenue, SE",N/A, 	525 ," 	99,540 ", 	252 , 	395 , 	250 ,101%,
146,191,Thurgood Marshall Academy PCS,"2427 Martin Luther King Jr. Avenue, SE",Nichols Avenue School, 	416 ," 	63,625 ", 	395 , 	161 , 	420 ,94%,
147,183,Tree of Life PCS,"2315 18th Place, NE",N/A," 	1,393 "," 	28,076 ", 	286 , 	85 , 	540 ,53%,
149,198,Two Rivers PCS (Elementary and Middle Schools),"1227 4th Street, NE ",N/A, 	537 ," 	33,076 ", 	518 , 	98 , 	750 ,69%,
,,,"1234 4th Street, NE",N/A, 	149 ," 	17,929 ",,,,,
151,1118 & 125,Washington Latin PCS (Middle and Upper Schools),"5200 2nd Street, NW",Rudolph, 	835 ," 	64,299 ", 	670 , 	96 , 	784 ,85%,
152,178,Washington Mathematics Science Technology PCHS,"1920 Bladensburg Road, NE",N/A, 	420 ," 	49,116 ", 	335 , 	147 , 	420 ,80%,
160,1117,Washington Yu Ying PCS,"220 Taylor Street, NE",N/A, 	610 ," 	41,118 ", 	528 , 	78 , 	588 ,90%,
153,210,"William E. Doar, Jr. PCS for the Performing Arts","705 Edgewood Street, NE",N/A, 	560 ," 	46,835 ", 	439 , 	107 , 	905 ,49%,
178,233,Academy of Hope Adult PCS*,"601 Edgewood Street, NE",N/A, 	75 ," 	9,375 ", 	256 , 	83.50 , 	300 ,85%,Adult program
,,,"
421 Alabama Avenue, SE",N/A, 	111 ," 	12,000 ",,,,,
119,126,Briya PCS*,"2333 Ontario Road, NW (Main Office)",Co-Locating in Bancroft ES,N/A,N/A, 	492 ,N/A, 	482 ,102%,Adult program
,,,"3912 Georgia Avenue, NW",N/A, 	663 ," 	26,940 ",,,,,
,,,"1755 Newton Street, NW",N/A,N/A,N/A,,,,,
162,1119,Carlos Rosario International PCS*,"1100 Harvard Street, NW",N/A," 	1,200 "," 	84,000 "," 	1,973 ", 	67 ," 	1,950 ",101%,Adult program
,,,"514 V Street, NE",N/A, 	414 ," 	48,000 ",,,,,
176,216,Community College Preparatory Academy PCS*,"2405 Martin Luther King Jr. Avenue, SE",N/A, 	155 ," 	11,000 ", 	273 , 	40 , 	238 ,115%,Adult program
172,104,LAYC Career Academy PCS*,"3047 15th Street, NW",N/A, 	225 ," 	15,500 ", 	190 , 	82 , 	250 ,76%,Adult program
133,101 & 137,Maya Angelou PCS -Evans and Young Adult Learning Center*,"5600 E Capitol Street, NE",Evans, 	646 ," 	125,800 ", 	399 , 	315 , 	550 ,73%,Facility includes an adult program.
131,128,Youthbuild PCS*,3014 14th St NW,N/A, 	100 ," 	11,709 ", 	112 , 	105 , 	115 ,97%,Adult program
145,168,The Next Step/El Proximo Paso PCS*,"3047 15th Street, NW",N/A, 	375 ," 	31,352 ", 	363 , 	86 , 	350 ,104%,"Adult program. 
Proposed enrollment ceiling to 400. Board will vote on increase to enrollment ceiling at December 15 meeting."
,,,,,," 	4,713,321 "," 	37,684 ", 	133 ,,,
,,,,,,,,,,,
122,160,Washington Hospitality Foundation,1851 9th Street NW,, 	347 ," 	29,300 ",171, 	171 , 	225 ,76%,"Washington Hospitality is unique, and not a charter school. It should be reported separately as an OSSE-controlled school."
,,,,,,,,,,,
,,,,,,,,,,,
"Note(s:) 
1) * Indicates a charter school that serves adult population. Adult public schools have a different model for serving students compared to the traditional KG-12 public schools. Adult students attend school at different times of the day, in shifts. Thus, the total enrollment number for the school doesn't represent how many students occupy the building all at once, and instead represent how many students attend school in the building.",,,,,,,,,,,
,,,,,,,,,,,
"Source(s):
1) LEA ID(s), School ID(s), School Name(s) reported by OSSE via School and Lea Information Management System file (SLIMS).
2) School addresses and former DCPS facility names were verified by DME and PCSB.
3) Maximum occupancy numbers and total square footage numbers reported by PSCB. This information is collected through charter school facilities' Certificate of Occupancy (C of O), which charter schools are required to submit to PCSB in October if one is not already on file. PCSB then follows up with any missing charter facility C's of O between October-February of each year.  The maximum occupancy count number describes how many people can legally occupy the building stated on the facility's C of O. 
4) SY14-15 Audited enrollment, informed by OSSE. 
5) LEA enrollment ceiling is reported by PCSB. This number is set by a school's Charter Agreement and subsequent amendments, which state the maximum number of students for which a school receives payment.  Please note, Charters may submit written requests to DC PCSB Board to increase the maximum enrollment of the school. The DC PCSB Board reviews the charter school using a set of criteria, prior to voting, to approve or not approve the request. ",,,,,,,,,,,
