X,Y,OBJECTID,ID,NAME,ADDRESS,ZIP,TELEPHONE,WEB_URL,GIS_ID
-77.034756649085992,38.952116027842351,1,10,Academy for Ideal Education,1501 Gallatin St NW,20011,202-726-0313,http://members.tripod.com/~idealschool/,IND_002
-77.027422633239979,38.964382411764397,2,15,Bridges Academy,6119 Georgia Ave NW,20011,202-829-1901,http://bridges-academy.org ,IND_003
-77.014204449927803,38.904922978291786,3,24,Holy Redeemer School,1135 New Jersey Ave NW,20001,202-638-5789,http://www.holyredeemerdc.org/ ,IND_004
-77.070480001975682,38.907459476798259,4,25,Holy Trinity School,1325 36th St NW,20007,202-337-2339,http://www.htsdc.org/,IND_005
-77.03409110787166,38.950991743486121,5,27,Kingsbury Day School,5000 14th Street NW,20008,202-722-5555,http://www.kingsbury.org/ ,IND_006
-77.060570875345547,38.92822226943688,6,30,Maret School,3000 Cathedral Ave NW,20008,202-939-8800,http://www.maret.org,IND_007
-77.026498089991009,38.932635089370919,7,33,Nation House Watoto School,770 Park Rd NW,20010,202-291-5600,http://www.nationhouse.org ,IND_008
-77.036769952569102,38.949993395629591,8,38,Parkmont School,4842 16th St NW,20011,202-726-0740,http://www.parkmont.org,IND_009
-77.070522402172202,38.946773922157931,9,49,Sheridan School,4400 36th St NW,20008,202-362-7900,http://www.sheridanschool.org,IND_011
-77.073987722846852,38.939372306781465,10,50,Sidwell Friends School,3825 Wisconsin Ave NW,20016,202-537-8100,http://www.sidwell.edu,IND_012
-77.078360657961625,38.933838908599242,11,51,Washington Hebrew Congregation Tyser Ecc,3935 Macomb St NW,20016,202-895-6334,http://www.whcecc.org/ETECC.htm,IND_013
-77.06112423222234,38.932477616052843,12,52,Washington International School,3100 Macomb St NW,20008,202-243-1800,http://www.wis.edu,IND_014
-77.004529880009997,38.84150409003778,13,53,Assumption School,220 High View Pl SE,20032,202-562-7070,http://www.assumptionchurch-dc.org/ ,IND_015
-76.991871312164093,38.86329071159836,14,55,Clara Muhammad School,2313-15 Martin Luther King Jr Ave SE,20020,202-610-1090,http://dccms.org ,IND_016
